Equipo_Local,Equipo_Visitante,Cuota_Local,Cuota_Visitante,Resultado
Atletico,Porto,79,21,2
Malmö,Zenit,57,43,2
Shakhtar Donetsk,Wolfsburg,6,94,1
Dynamo,Malmö,3,97,3
Benfica,Shakhtar Donetsk,27,73,3
Sevilla,Juventus,29,71,2
Liverpool,Barcelona,100,0,1
Man. City,Atletico,29,71,3
Villareal,Chelsea,49,51,3
Malmö,Leipzig,46,54,3
Real Madrid,Sporting CP,38,62,1
Sevilla,Man. City,94,6,2
Man. United,Atletico,20,80,1
Sevilla,Young Boys,52,48,2
Bensiktas,Sevilla,38,62,2
Malmö,Atletico,72,28,3
Club Brugge,Real Madrid,15,85,2
Dynamo,Leipzig,43,57,3
Shakhtar Donetsk,Man. City,78,22,1
Bayern,Atletico,55,45,1
Barcelona,Villareal,35,65,2
Chelsea,Porto,33,67,1
Man. City,Liverpool,99,1,2
Leipzig,Malmö,41,59,1
LOSC,Sporting CP,0,100,2
Atlanta,Benfica,2,98,2
Juventus,Sheriff,54,46,3
Internazionale,Bensiktas,25,75,2
Sevilla,Villareal,26,74,1
Malmö,Young Boys,81,19,2
Ajax,Real Madrid,1,99,2
Villareal,Benfica,90,10,1
Zenit,Sporting CP,64,36,2
Shakhtar Donetsk,Salzburg,19,81,3
Leipzig,Ajax,33,67,3
Internazionale,Bayern,35,65,1
Dynamo,Sevilla,19,81,3
Man. United,Malmö,98,2,1
Atletico,Club Brugge,85,15,3
Porto,Juventus,69,31,2
Man. United,Porto,88,12,1
Liverpool,Club Brugge,75,25,2
Dynamo,Barcelona,63,37,2
Sevilla,Atletico,91,9,1
Sporting CP,LOSC,4,96,1
Villareal,Benfica,68,32,2
Club Brugge,Chelsea,84,16,2
Leipzig,Man. United,10,90,2
Chelsea,Bayern,82,18,2
Malmö,Dynamo,15,85,3
Bensiktas,Zenit,96,4,3
Sporting CP,Porto,99,1,2
Man. City,Dynamo,61,39,2
Zenit,Sevilla,46,54,2
Paris,LOSC,22,78,2
Zenit,Leipzig,16,84,1
Porto,Leipzig,31,69,3
Young Boys,LOSC,31,69,2
Sheriff,Young Boys,99,1,3
Dortmund,Salzburg,13,87,1
Wolfsburg,Internazionale,31,69,2
Club Brugge,Wolfsburg,100,0,1
Malmö,Zenit,79,21,3
Atlanta,Chelsea,20,80,3
Sheriff,Real Madrid,73,27,2
Wolfsburg,Paris,61,39,1
Sevilla,Man. United,8,92,2
Young Boys,Atlanta,26,74,3
Ajax,Chelsea,89,11,1
Chelsea,Sporting CP,30,70,2
Internazionale,Shakhtar Donetsk,75,25,3
Sporting CP,Paris,66,34,3
Paris,Porto,7,93,1
Man. City,Atlanta,38,62,1
Villareal,Paris,13,87,1
Ajax,Bensiktas,55,45,3
Salzburg,Man. City,63,37,1
Leipzig,LOSC,9,91,3
Internazionale,Ajax,98,2,2
Paris,LOSC,72,28,3
Salzburg,Barcelona,30,70,2
Sporting CP,Atlanta,62,38,3
Juventus,Ajax,27,73,1
Young Boys,Zenit,3,97,1
Milan,Internazionale,82,18,3
Porto,Paris,80,20,1
Sporting CP,Porto,49,51,1
Barcelona,Atletico,77,23,1
Bayern,Sporting CP,10,90,1
Dynamo,Shakhtar Donetsk,52,48,1
Sheriff,Milan,5,95,1
Sporting CP,Man. United,47,53,2
Man. United,Liverpool,94,6,2
Ajax,Salzburg,18,82,1
Zenit,Sheriff,65,35,3
Bensiktas,Paris,50,50,2
Atlanta,Real Madrid,9,91,3
Juventus,Wolfsburg,4,96,3
Club Brugge,Sevilla,4,96,3
LOSC,Internazionale,14,86,2
Zenit,Leipzig,99,1,2
Porto,LOSC,35,65,2
Paris,Dortmund,87,13,1
Young Boys,Juventus,89,11,2
Wolfsburg,Benfica,95,5,2
Real Madrid,Chelsea,78,22,3
Club Brugge,Bayern,79,21,1
Malmö,Man. United,2,98,2
Juventus,Porto,36,64,2
Internazionale,Man. United,23,77,1
Bensiktas,Dortmund,63,37,2
Benfica,Atlanta,100,0,3
LOSC,Bayern,62,38,3
Liverpool,Chelsea,90,10,3
Bensiktas,Juventus,53,47,1
Ajax,Wolfsburg,80,20,3
Dynamo,Young Boys,33,67,2
LOSC,Real Madrid,42,58,1
Leipzig,Young Boys,81,19,2
Sevilla,Liverpool,78,22,1
Bayern,Barcelona,16,84,3
Bensiktas,Sporting CP,49,51,2
Man. City,Sheriff,92,8,3
Dynamo,Zenit,30,70,3
Zenit,Wolfsburg,60,40,2
Milan,Real Madrid,2,98,2
Internazionale,Barcelona,92,8,1
Chelsea,Bayern,4,96,3
Salzburg,Bayern,64,36,1
Atletico,Man. City,4,96,1
Milan,Ajax,26,74,2
Paris,Benfica,8,92,3
LOSC,Juventus,93,7,1
Salzburg,Leipzig,98,2,2
Milan,Sheriff,8,92,1
Man. United,Liverpool,48,52,2
Sevilla,Leipzig,60,40,3
Dynamo,Juventus,73,27,3
Juventus,Bayern,29,71,1
Wolfsburg,Club Brugge,6,94,3
Benfica,Ajax,32,68,3
Sevilla,LOSC,83,17,3
Sporting CP,Chelsea,55,45,3
Liverpool,Paris,96,4,2
Sheriff,Man. City,65,35,1
Zenit,LOSC,2,98,3
Dortmund,Milan,2,98,1
Ajax,Real Madrid,7,93,3
Porto,Bayern,24,76,3
Sporting CP,Bayern,6,94,1
Barcelona,Juventus,51,49,2
Zenit,Bayern,0,100,3
Atletico,Club Brugge,100,0,3
Sporting CP,Bayern,44,56,1
Real Madrid,Bensiktas,77,23,2
Man. United,Atlanta,35,65,2
Real Madrid,Malmö,0,100,2
Dynamo,Juventus,65,35,3
Chelsea,Club Brugge,6,94,3
Sevilla,Milan,71,29,2
Barcelona,Sporting CP,35,65,1
Porto,Liverpool,76,24,1
Sporting CP,Ajax,80,20,3
Zenit,Man. City,99,1,1
Shakhtar Donetsk,Dortmund,70,30,2
Man. City,Bayern,63,37,1
Benfica,Juventus,35,65,3
Young Boys,Malmö,56,44,3
Bensiktas,LOSC,65,35,1
Milan,Chelsea,68,32,2
Internazionale,LOSC,12,88,2
Young Boys,Chelsea,36,64,3
Bayern,Atletico,94,6,1
Dortmund,Young Boys,52,48,3
Man. City,Bensiktas,55,45,1
Zenit,Liverpool,77,23,3
Zenit,Dortmund,82,18,2
Man. United,Milan,31,69,2
Wolfsburg,Atlanta,16,84,1
Bensiktas,Barcelona,40,60,2
Barcelona,Milan,68,32,3
Juventus,Sevilla,92,8,3
Salzburg,Atletico,5,95,2
Leipzig,Man. City,25,75,3
Ajax,Leipzig,8,92,1
Sporting CP,Leipzig,63,37,1
Atletico,Liverpool,45,55,3
Young Boys,Real Madrid,69,31,2
Bayern,LOSC,74,26,2
Club Brugge,Zenit,53,47,2
Benfica,Shakhtar Donetsk,99,1,3
Ajax,Young Boys,1,99,2
Sporting CP,Dortmund,50,50,2
Chelsea,Shakhtar Donetsk,43,57,1
Dynamo,Bensiktas,86,14,1
Salzburg,Leipzig,6,94,3
Paris,Young Boys,39,61,2
Shakhtar Donetsk,Barcelona,27,73,1
Dynamo,Sheriff,31,69,2
Ajax,Real Madrid,3,97,1
Sevilla,Leipzig,65,35,3
Dortmund,Ajax,65,35,3
Man. City,Wolfsburg,28,72,3
Shakhtar Donetsk,Club Brugge,20,80,3
Young Boys,Porto,72,28,3
Atletico,Milan,42,58,2
Man. City,Sporting CP,63,37,1
Young Boys,Zenit,66,34,1
Bayern,Benfica,20,80,3
Shakhtar Donetsk,Zenit,27,73,2
Chelsea,Sporting CP,16,84,3
Villareal,Ajax,10,90,3
Zenit,Young Boys,32,68,3
Malmö,Atletico,33,67,1
Shakhtar Donetsk,Sevilla,11,89,3
Young Boys,Porto,60,40,3
Shakhtar Donetsk,Internazionale,38,62,2
Barcelona,Leipzig,6,94,2
Man. United,Juventus,91,9,1
Dortmund,Bayern,3,97,3
Milan,Bensiktas,97,3,2
Sporting CP,Real Madrid,65,35,3
Leipzig,Barcelona,89,11,1
Wolfsburg,Paris,23,77,1
Milan,Sheriff,65,35,2
Real Madrid,Porto,19,81,2
Milan,Real Madrid,5,95,1
Young Boys,Liverpool,68,32,1
Zenit,Salzburg,32,68,2
Porto,Ajax,53,47,1
Juventus,Milan,22,78,3
Barcelona,Bayern,37,63,2
Dynamo,Real Madrid,69,31,1
Man. City,Sevilla,7,93,2
Atletico,Juventus,12,88,3
Club Brugge,Barcelona,97,3,2
Atletico,Sevilla,13,87,3
Benfica,Zenit,85,15,3
Dynamo,Man. City,94,6,3
Real Madrid,Ajax,28,72,3
Ajax,Dynamo,14,86,3
Real Madrid,Porto,46,54,1
Leipzig,Malmö,92,8,1
Salzburg,Wolfsburg,29,71,1
Malmö,Benfica,36,64,3
Zenit,Atlanta,19,81,1
Club Brugge,Porto,73,27,2
Shakhtar Donetsk,Malmö,92,8,1
Sevilla,Porto,15,85,3
Milan,Club Brugge,53,47,3
Paris,Man. City,56,44,1
Internazionale,Ajax,55,45,3
Shakhtar Donetsk,Salzburg,64,36,1
Young Boys,Juventus,64,36,1
Salzburg,Malmö,78,22,2
Malmö,Salzburg,25,75,3
Wolfsburg,Sevilla,61,39,3
LOSC,Milan,86,14,1
Atletico,Sheriff,31,69,3
Atletico,Dynamo,82,18,3
Young Boys,Man. City,41,59,2
Zenit,Sevilla,20,80,2
Real Madrid,Club Brugge,10,90,2
Zenit,Sheriff,30,70,2
Malmö,Salzburg,15,85,3
Dortmund,Dynamo,39,61,2
Leipzig,Wolfsburg,74,26,3
Young Boys,Paris,16,84,2
Sporting CP,Juventus,14,86,2
Sevilla,Leipzig,96,4,2
Man. City,Sevilla,75,25,1
Sevilla,Benfica,45,55,2
Bayern,Wolfsburg,88,12,3
Salzburg,Sporting CP,43,57,2
Leipzig,Benfica,7,93,1
Shakhtar Donetsk,Malmö,96,4,1
LOSC,Barcelona,5,95,3
Bayern,Paris,40,60,3
Milan,Salzburg,91,9,2
Sheriff,Shakhtar Donetsk,35,65,1
Shakhtar Donetsk,Young Boys,21,79,2
Sporting CP,Milan,80,20,2
Atletico,Milan,1,99,2
Leipzig,Atlanta,42,58,2
Club Brugge,Sevilla,18,82,3
Zenit,Shakhtar Donetsk,31,69,1
Liverpool,Man. United,47,53,3
LOSC,Liverpool,98,2,1
Milan,Malmö,10,90,1
Paris,Internazionale,54,46,1
Porto,Sevilla,15,85,1
Dortmund,Juventus,96,4,3
Malmö,Porto,69,31,3
Chelsea,Sevilla,68,32,3
Villareal,Chelsea,30,70,3
Sevilla,Sheriff,57,43,2
Sheriff,Chelsea,28,72,3
Paris,Atlanta,83,17,3
Dynamo,Sevilla,90,10,3
Internazionale,Porto,76,24,1
Dynamo,Man. City,31,69,3
Atletico,Malmö,83,17,1
Atletico,Club Brugge,86,14,2
Internazionale,Bayern,96,4,2
Man. United,Villareal,50,50,1
Barcelona,Paris,91,9,2
Zenit,Porto,89,11,2
Real Madrid,Barcelona,72,28,2
LOSC,Dynamo,98,2,2
Real Madrid,Barcelona,63,37,2
Internazionale,Man. City,17,83,1
Atletico,Liverpool,61,39,2
Bayern,Wolfsburg,60,40,1
Man. United,Dynamo,36,64,2
Real Madrid,Zenit,27,73,1
Sevilla,Porto,33,67,3
Villareal,Young Boys,79,21,1
Sheriff,Sevilla,66,34,2
Paris,Club Brugge,70,30,1
Benfica,Sporting CP,41,59,1
Sheriff,Barcelona,57,43,2
Porto,Shakhtar Donetsk,36,64,3
Wolfsburg,Malmö,2,98,2
LOSC,Chelsea,61,39,2
Internazionale,Villareal,37,63,1
Dynamo,Bayern,42,58,2
Barcelona,Shakhtar Donetsk,3,97,2
Sporting CP,Sevilla,57,43,3
LOSC,Young Boys,18,82,3
Shakhtar Donetsk,Barcelona,27,73,1
Real Madrid,Sporting CP,79,21,1
Sheriff,Zenit,38,62,1
Atlanta,Leipzig,85,15,1
Man. United,Benfica,4,96,3
Dortmund,LOSC,42,58,3
Porto,Sevilla,89,11,1
Ajax,Club Brugge,47,53,1
Paris,Zenit,14,86,2
Zenit,Leipzig,9,91,1
Salzburg,Leipzig,12,88,3
Sevilla,Sporting CP,73,27,1
Porto,Dortmund,14,86,3
Benfica,Zenit,87,13,2
Chelsea,Villareal,52,48,2
Bensiktas,Shakhtar Donetsk,51,49,2
Man. City,Sporting CP,15,85,3
Bensiktas,Juventus,0,100,3
Villareal,Milan,79,21,3
Sevilla,Liverpool,63,37,2
Zenit,Dortmund,0,100,3
Sevilla,Dynamo,83,17,1
Chelsea,Man. United,92,8,3
Juventus,LOSC,7,93,2
Leipzig,Sheriff,16,84,1
Juventus,Porto,49,51,2
Atlanta,Man. United,0,100,1
Zenit,Wolfsburg,34,66,3
Villareal,Dortmund,55,45,3
Sevilla,Juventus,21,79,2
Malmö,Liverpool,26,74,3
Juventus,Zenit,19,81,3
Paris,Ajax,96,4,1
Wolfsburg,Real Madrid,64,36,1
Dynamo,Malmö,19,81,2
Malmö,Wolfsburg,55,45,1
Dynamo,Barcelona,93,7,1
Young Boys,Atletico,9,91,1
Benfica,Milan,24,76,2
Ajax,Sporting CP,46,54,1
Salzburg,Chelsea,29,71,3
Zenit,LOSC,19,81,3
Club Brugge,Atletico,88,12,3
Ajax,Young Boys,25,75,2
Real Madrid,Young Boys,78,22,2
Sheriff,Atletico,81,19,3
Paris,Porto,69,31,1
Salzburg,Internazionale,17,83,1
Man. City,Sporting CP,36,64,1
Man. United,Sevilla,58,42,3
Juventus,Sevilla,28,72,1
Barcelona,Ajax,42,58,1
Malmö,Man. United,38,62,1
Ajax,Benfica,4,96,2
Atletico,Juventus,21,79,1
Bayern,Atlanta,72,28,3
LOSC,Liverpool,65,35,2
Liverpool,Real Madrid,31,69,2
Paris,Leipzig,33,67,3
Juventus,Benfica,89,11,1
Villareal,Man. United,63,37,1
Leipzig,Barcelona,9,91,1
Barcelona,Ajax,80,20,2
Dynamo,Shakhtar Donetsk,96,4,3
Sheriff,Bayern,95,5,2
Shakhtar Donetsk,Real Madrid,12,88,1
Bayern,Sporting CP,21,79,2
Zenit,Dortmund,79,21,1
Wolfsburg,Paris,2,98,3
Benfica,Club Brugge,14,86,3
Shakhtar Donetsk,Villareal,74,26,1
Atlanta,Man. City,2,98,3
Club Brugge,Dortmund,22,78,1
Salzburg,Paris,38,62,3
Villareal,Club Brugge,32,68,2
Atlanta,Bensiktas,81,19,1
Dortmund,Barcelona,56,44,3
Atletico,Internazionale,28,72,2
Dortmund,Chelsea,55,45,1
Club Brugge,Ajax,28,72,1
Bayern,Man. City,77,23,2
Bensiktas,Sevilla,45,55,3
Man. United,Dortmund,60,40,1
Sheriff,Leipzig,45,55,3
Ajax,Sevilla,63,37,3
Leipzig,Porto,0,100,2
Sheriff,Milan,41,59,2
Shakhtar Donetsk,Liverpool,72,28,1
Shakhtar Donetsk,Bayern,84,16,1
Salzburg,Young Boys,17,83,2
Chelsea,Bayern,84,16,2
Villareal,Sevilla,83,17,2
Shakhtar Donetsk,Liverpool,47,53,1
Porto,Man. United,4,96,1
Man. United,Zenit,80,20,3
Juventus,Benfica,66,34,3
Juventus,Atletico,30,70,3
Liverpool,Paris,58,42,2
Ajax,Juventus,98,2,3
Ajax,Barcelona,52,48,2
Liverpool,Atlanta,99,1,3
Atletico,Malmö,46,54,1
Man. City,Paris,59,41,1
Malmö,Barcelona,47,53,2
Shakhtar Donetsk,Atletico,36,64,3
Bensiktas,Club Brugge,75,25,3
Zenit,Salzburg,69,31,3
Sevilla,Dortmund,86,14,2
Villareal,Real Madrid,77,23,3
Man. United,Real Madrid,31,69,3
Paris,Liverpool,28,72,1
Sporting CP,Club Brugge,30,70,2
Real Madrid,Bensiktas,16,84,2
LOSC,Leipzig,1,99,1
Milan,Wolfsburg,22,78,2
Shakhtar Donetsk,Man. City,25,75,1
LOSC,Milan,50,50,1
Malmö,Benfica,27,73,1
Milan,Sevilla,92,8,1
Sporting CP,Milan,92,8,2
Man. United,Real Madrid,63,37,1
Internazionale,Atlanta,85,15,3
Leipzig,Liverpool,87,13,2
Club Brugge,Bensiktas,66,34,3
Milan,Zenit,76,24,2
Atlanta,Sevilla,46,54,3
Club Brugge,Juventus,80,20,1
Juventus,Shakhtar Donetsk,32,68,3
Club Brugge,Villareal,86,14,2
Wolfsburg,Young Boys,29,71,1
LOSC,Salzburg,84,16,3
Internazionale,Porto,23,77,1
Young Boys,Man. City,22,78,3
Young Boys,Chelsea,66,34,1
Young Boys,Paris,18,82,3
Dynamo,Man. City,77,23,3
Ajax,Bayern,20,80,2
Club Brugge,Paris,38,62,3
Salzburg,Porto,49,51,1
Porto,Zenit,2,98,2
Paris,Villareal,11,89,3
Atletico,Paris,33,67,3
Milan,LOSC,41,59,2
Barcelona,Zenit,94,6,2
Dortmund,Villareal,3,97,3
Leipzig,Zenit,6,94,2
Young Boys,Barcelona,18,82,1
Man. City,Sheriff,19,81,3
Sevilla,Dortmund,18,82,2
Barcelona,Leipzig,41,59,3
Juventus,Dynamo,40,60,3
Real Madrid,Benfica,97,3,3
Salzburg,Atlanta,32,68,3
Villareal,Dortmund,66,34,1
Juventus,Sevilla,95,5,3
LOSC,Wolfsburg,60,40,3
Sporting CP,Atletico,82,18,2
Young Boys,Zenit,3,97,3
Dortmund,Bayern,11,89,2
Barcelona,Zenit,22,78,2
Man. United,Real Madrid,89,11,1
Chelsea,Salzburg,73,27,2
Sheriff,Atlanta,33,67,1
Milan,Real Madrid,9,91,2
Benfica,Real Madrid,80,20,2
Sevilla,LOSC,34,66,2
Young Boys,Benfica,55,45,2
Malmö,Barcelona,90,10,3
Man. United,Wolfsburg,32,68,3
Internazionale,Sevilla,52,48,1
Sheriff,Juventus,55,45,2
Ajax,Barcelona,88,12,2
Club Brugge,Atlanta,15,85,1
Wolfsburg,Leipzig,13,87,1
Sevilla,Chelsea,73,27,3
Bayern,Leipzig,63,37,1
Real Madrid,Sheriff,62,38,1
Internazionale,Ajax,5,95,2
Villareal,Man. City,47,53,3
Salzburg,Chelsea,14,86,2
Internazionale,Villareal,69,31,3
Young Boys,Bayern,33,67,2
Bayern,Man. United,34,66,1
Benfica,Chelsea,12,88,3
Barcelona,Liverpool,34,66,3
Bensiktas,Salzburg,68,32,2
Man. City,Dynamo,69,31,2
Real Madrid,Man. City,76,24,1
Atlanta,Villareal,15,85,1
Bensiktas,Benfica,33,67,1
Shakhtar Donetsk,Salzburg,21,79,1
Man. City,Milan,82,18,3
Porto,Leipzig,25,75,3
Sporting CP,Sevilla,3,97,2
Bensiktas,Liverpool,80,20,2
Dynamo,Internazionale,23,77,1
Man. United,Salzburg,38,62,3
Man. United,Benfica,30,70,1
Shakhtar Donetsk,Juventus,94,6,1
Villareal,Dynamo,15,85,2
Club Brugge,Benfica,12,88,2
Sheriff,Dortmund,65,35,2
Man. United,Dynamo,13,87,3
Villareal,Leipzig,76,24,1
Dortmund,Bensiktas,10,90,2
Man. United,Wolfsburg,58,42,3
Dortmund,Club Brugge,91,9,2
Atlanta,Dynamo,60,40,2
Zenit,Malmö,17,83,1
Zenit,Real Madrid,8,92,1
Dortmund,Liverpool,86,14,3
Real Madrid,Sporting CP,61,39,1
Man. City,Atletico,44,56,2
Man. City,Paris,40,60,2
Dynamo,Malmö,46,54,1
Ajax,Dynamo,13,87,1
Man. United,Barcelona,86,14,3
Shakhtar Donetsk,Internazionale,37,63,3
Wolfsburg,Salzburg,80,20,3
Chelsea,Milan,50,50,3
Bayern,Club Brugge,45,55,1
Villareal,Young Boys,25,75,3
Internazionale,Barcelona,50,50,2
Chelsea,Real Madrid,7,93,3
Dynamo,Salzburg,35,65,2
Villareal,Ajax,46,54,2
Salzburg,Leipzig,26,74,3
Wolfsburg,Salzburg,69,31,2
Chelsea,LOSC,45,55,2
Man. City,Leipzig,8,92,1
Young Boys,Barcelona,37,63,2
Juventus,Leipzig,42,58,2
Sevilla,Bayern,64,36,3
Atletico,Malmö,100,0,1
Porto,Club Brugge,20,80,1
Liverpool,Man. City,47,53,1
Dortmund,Barcelona,39,61,1
Club Brugge,Dortmund,93,7,2
Malmö,Atletico,8,92,2
LOSC,Juventus,81,19,1
Benfica,Salzburg,83,17,2
Ajax,Sporting CP,9,91,2
Dynamo,LOSC,65,35,3
Sporting CP,Barcelona,61,39,3
Man. City,Chelsea,14,86,1
Porto,Paris,97,3,2
Atletico,Bayern,4,96,2
Zenit,Atlanta,13,87,3
Sheriff,Bayern,12,88,3
Benfica,Barcelona,9,91,3
Villareal,Paris,92,8,2
Internazionale,Zenit,20,80,3
Malmö,Villareal,77,23,3
Chelsea,Man. City,25,75,1
LOSC,Internazionale,4,96,2
Salzburg,Dynamo,57,43,2
Malmö,Juventus,86,14,1
Barcelona,Paris,64,36,3
LOSC,Liverpool,0,100,1
Young Boys,Malmö,4,96,1
Man. United,Milan,64,36,2
Villareal,Salzburg,32,68,1
Atlanta,Milan,73,27,2
Young Boys,Wolfsburg,52,48,3
Ajax,Sevilla,89,11,1
Wolfsburg,Internazionale,74,26,2
Porto,Sheriff,84,16,2
Paris,Leipzig,49,51,1
Barcelona,Young Boys,85,15,2
Benfica,Sheriff,97,3,3
Dortmund,Zenit,67,33,3
Salzburg,Club Brugge,20,80,3
Man. City,Leipzig,95,5,1
Malmö,Ajax,41,59,2
Benfica,Sporting CP,88,12,2
Chelsea,Man. City,49,51,2
Atlanta,Benfica,73,27,2
Paris,Liverpool,51,49,1
Atlanta,Milan,73,27,3
Internazionale,Porto,62,38,3
Paris,Atletico,70,30,1
Man. United,Liverpool,94,6,2
Internazionale,Benfica,58,42,1
Atletico,Shakhtar Donetsk,85,15,2
Club Brugge,Young Boys,50,50,1
Zenit,Real Madrid,14,86,1
Club Brugge,Atlanta,40,60,1
Leipzig,Ajax,3,97,1
Juventus,Liverpool,82,18,2
Bensiktas,Zenit,19,81,1
Internazionale,Bensiktas,41,59,3
Wolfsburg,Malmö,6,94,1
Benfica,Malmö,20,80,1
LOSC,Liverpool,46,54,3
Shakhtar Donetsk,Real Madrid,80,20,3
Shakhtar Donetsk,Atlanta,16,84,1
Young Boys,Dortmund,51,49,2
Sevilla,Zenit,9,91,1
Malmö,Wolfsburg,66,34,3
Internazionale,LOSC,31,69,3
Dortmund,Milan,23,77,2
Real Madrid,Shakhtar Donetsk,7,93,1
Real Madrid,Juventus,59,41,2
Dortmund,Leipzig,50,50,3
Bayern,Dynamo,48,52,2
Sheriff,Villareal,90,10,2
Paris,Wolfsburg,40,60,1
Paris,Ajax,46,54,3
Leipzig,Benfica,67,33,1
Juventus,Man. United,41,59,2
Milan,Sevilla,42,58,2
Man. City,Dynamo,85,15,1
Atletico,Milan,15,85,3
LOSC,Atlanta,38,62,2
Benfica,Real Madrid,70,30,3
Villareal,Internazionale,58,42,1
Dortmund,Bensiktas,99,1,1
Benfica,Liverpool,37,63,1
Paris,Atletico,58,42,3
Barcelona,Wolfsburg,26,74,1
Sporting CP,Man. City,80,20,1
Porto,Dortmund,97,3,1
Porto,Zenit,18,82,1
Bensiktas,LOSC,27,73,3
Atlanta,Man. United,66,34,3
Bensiktas,Malmö,14,86,1
Internazionale,Man. City,7,93,2
Atlanta,Leipzig,23,77,1
Real Madrid,Zenit,56,44,1
Villareal,Chelsea,31,69,1
Villareal,Man. United,70,30,3
Bayern,Juventus,0,100,1
Villareal,Man. City,20,80,3
Porto,LOSC,26,74,3
Bayern,Salzburg,11,89,3
Sheriff,Wolfsburg,78,22,3
Ajax,Sheriff,0,100,2
Atlanta,Chelsea,34,66,3
Leipzig,Milan,78,22,3
Liverpool,Bayern,35,65,2
Sevilla,Villareal,25,75,2
Villareal,Juventus,2,98,2
Ajax,Bensiktas,4,96,3
Dynamo,Real Madrid,39,61,2
LOSC,Man. United,10,90,1
Paris,Club Brugge,96,4,2
Liverpool,Young Boys,15,85,3
Ajax,Man. City,69,31,1
Sporting CP,LOSC,47,53,3
Sevilla,Ajax,81,19,2
Shakhtar Donetsk,Dynamo,78,22,2
Sheriff,Sporting CP,81,19,2
Man. City,Barcelona,80,20,1
Milan,Leipzig,82,18,1
Villareal,Sheriff,56,44,1
Dortmund,Internazionale,22,78,1
Dynamo,LOSC,42,58,2
Barcelona,Bensiktas,77,23,1
Sporting CP,Porto,5,95,2
Man. City,Chelsea,0,100,1
Club Brugge,Paris,87,13,2
Paris,Internazionale,52,48,3
Man. City,Atlanta,9,91,1
Bayern,Zenit,100,0,3
Wolfsburg,Atletico,71,29,1
Barcelona,Wolfsburg,17,83,1
Benfica,Chelsea,56,44,3
Barcelona,Bayern,55,45,2
Juventus,Young Boys,100,0,1
Juventus,Leipzig,29,71,2
Salzburg,Atlanta,41,59,1
Salzburg,Barcelona,92,8,3
Man. City,Chelsea,87,13,3
Wolfsburg,Sevilla,24,76,1
Dynamo,Sevilla,72,28,2
Sevilla,Villareal,42,58,2
Benfica,Shakhtar Donetsk,45,55,3
Chelsea,Atletico,79,21,1
Paris,Malmö,67,33,3
Shakhtar Donetsk,Young Boys,7,93,3
Internazionale,Sevilla,80,20,3
Benfica,Shakhtar Donetsk,20,80,2
Zenit,Juventus,85,15,1
Internazionale,Atlanta,89,11,1
Club Brugge,Salzburg,1,99,2
Man. City,Milan,74,26,2
Sporting CP,Bensiktas,40,60,1
Paris,Shakhtar Donetsk,24,76,1
Barcelona,Bensiktas,5,95,2
Atlanta,Dynamo,53,47,3
Chelsea,Real Madrid,96,4,2
Dynamo,Porto,90,10,2
Ajax,Internazionale,20,80,3
Man. City,Club Brugge,31,69,2
Atlanta,Paris,52,48,2
Atlanta,Ajax,8,92,1
Porto,Shakhtar Donetsk,4,96,3
Dynamo,Barcelona,2,98,2
Salzburg,Sporting CP,66,34,1
Benfica,Dortmund,98,2,3
Club Brugge,Juventus,99,1,3
LOSC,Benfica,58,42,3
Barcelona,Bensiktas,92,8,2
Milan,Zenit,37,63,1
LOSC,Man. City,80,20,2
Atletico,Zenit,92,8,3
Villareal,Young Boys,16,84,1
Chelsea,Barcelona,14,86,1
Leipzig,Malmö,54,46,3
Porto,Zenit,6,94,3
Bensiktas,Internazionale,17,83,3
Dortmund,Chelsea,88,12,1
Liverpool,Shakhtar Donetsk,35,65,2
Salzburg,Milan,26,74,3
Bensiktas,Internazionale,13,87,2
Paris,Real Madrid,41,59,1
Real Madrid,Chelsea,59,41,3
Dortmund,Sporting CP,36,64,1
Atletico,Young Boys,43,57,2
Dortmund,Atlanta,76,24,1
Chelsea,Benfica,100,0,1
Zenit,Wolfsburg,63,37,3
Internazionale,Benfica,55,45,3
Man. City,Young Boys,15,85,2
Leipzig,Zenit,19,81,3
Barcelona,Young Boys,39,61,1
Ajax,LOSC,61,39,1
Chelsea,Liverpool,46,54,1
Juventus,Benfica,34,66,3
Porto,Wolfsburg,40,60,2
Real Madrid,Ajax,36,64,3
Internazionale,Sevilla,56,44,1
Malmö,Juventus,1,99,3
Club Brugge,Shakhtar Donetsk,73,27,3
Ajax,Sporting CP,78,22,2
Salzburg,Sporting CP,96,4,1
Barcelona,Paris,58,42,2
Zenit,Dortmund,45,55,1
Sporting CP,Malmö,3,97,1
Man. City,Benfica,53,47,3
Man. City,Liverpool,49,51,1
Malmö,Chelsea,44,56,3
Internazionale,Dynamo,38,62,2
Sheriff,Atlanta,40,60,3
Club Brugge,Shakhtar Donetsk,0,100,2
Benfica,Milan,74,26,2
Young Boys,Atlanta,87,13,2
Liverpool,Malmö,46,54,2
Atlanta,LOSC,74,26,1
Chelsea,Wolfsburg,86,14,3
Porto,Young Boys,30,70,1
Sheriff,Leipzig,16,84,2
Shakhtar Donetsk,Bayern,44,56,1
Sevilla,Ajax,0,100,3
Sporting CP,LOSC,42,58,3
Real Madrid,Leipzig,11,89,2
Dynamo,Juventus,50,50,3
Paris,Atletico,58,42,3
Real Madrid,Ajax,0,100,2
Bayern,Sporting CP,66,34,2
Ajax,Bensiktas,63,37,2
